Symbol,Nifty 50,Nifty Next 50,Nifty 500,Nifty 750,Nifty Midcap 150,Nifty smallcap 250
MRF,,,MRF,HINDCOPPER,,
LODHA,,,MGL,HINDPETRO,,
MGL,,,MAHSEAMLES,HINDUNILVR,,
MAHSEAMLES,,,M&MFIN,HINDZINC,,
M&MFIN,,,M&M,POWERINDIA,,
M&M,,,MANAPPURAM,HOMEFIRST,,
MAHLIFE,,,MRPL,HONASA,,
MANAPPURAM,,,MANKIND,HONAUT,,
MRPL,,,MARICO,HUDCO,,
MANKIND,,,MARUTI,HYUNDAI,,
MARICO,,,MASTEK,ICICIBANK,,
MARUTI,,,MFSL,ICICIGI,,
MASTEK,,,MAXHEALTH,ICICIPRULI,,
MFSL,,,MAZDOCK,IDBI,,
MAXHEALTH,,,METROPOLIS,IDFCFIRSTB,,
MAZDOCK,,,MINDACORP,IFBIND,,
METROBRAND,,,MSUMI,IFCI,,
METROPOLIS,,,MOTILALOFS,IIFLCAPS,,
MINDACORP,,,MPHASIS,IIFL,,
MSUMI,,,MCX,INOXINDIA,,
MOTILALOFS,,,MUTHOOTFIN,IRB,,
MPHASIS,,,NATCOPHARM,IRCON,,
MCX,,,NBCC,ITC,,
MUTHOOTFIN,,,NCC,ITDCEM,,
NATCOPHARM,,,NHPC,ITI,,
NBCC,,,NLCINDIA,IMAGICAA,,
NCC,,,NMDC,INDGN,,
NHPC,,,NSLNISP,INDIACEM,,
NLCINDIA,,,NTPCGREEN,INDIAGLYCO,,
NMDC,,,NTPC,INDIASHLTR,,
NSLNISP,,,NH,INDIAMART,,
NTPC,,,NATIONALUM,INDIANB,,
NH,,,NAVA,IEX,,
NATIONALUM,,,NAVINFLUOR,INDHOTEL,,
NAVINFLUOR,,,NESTLEIND,IMFA,,
NESTLEIND,,,NETWEB,IOC,,
NETWEB,,,NETWORK18,IOB,,
NETWORK18,,,NEULANDLAB,IRCTC,,
NEWGEN,,,NEWGEN,IRFC,,
NAM-INDIA,,,NAM-INDIA,IREDA,,
NUVAMA,,,NIVABUPA,INDIGOPNTS,,
NUVOCO,,,NUVAMA,ICIL,,
OBEROIRLTY,,,OBEROIRLTY,IGL,,
ONGC,,,ONGC,INDUSTOWER,,
OIL,,,OIL,INDUSINDBK,,
OLECTRA,,,OLAELEC,INFIBEAM,,
PAYTM,,,OLECTRA,NAUKRI,,
OFSS,,,PAYTM,INFY,,
POLICYBZR,,,OFSS,INGERRAND,,
PCBL,,,POLICYBZR,INNOVACAP,,
PIIND,,,PCBL,INOXGREEN,,
PNBHOUSING,,,PGEL,INOXWIND,,
PNCINFRA,,,PIIND,INTELLECT,,
PTCIL,,,PNBHOUSING,INDIGO,,
PVRINOX,,,PNCINFRA,IGIL,,
PAGEIND,,,PTCIL,IKS,,
PATANJALI,,,PVRINOX,IONEXCHANG,,
PERSISTENT,,,PAGEIND,IPCALAB,,
PETRONET,,,PATANJALI,ISGEC,,
PFIZER,,,PERSISTENT,JBCHEPHARM,,
PHOENIXLTD,,,PETRONET,JKCEMENT,,
PIDILITIND,,,PFIZER,JKIL,,
PEL,,,PHOENIXLTD,JBMA,,
PPLPHARMA,,,PIDILITIND,JKLAKSHMI,,
POLYMED,,,PEL,JKPAPER,,
POLYCAB,,,PPLPHARMA,JKTYRE,,
POONAWALLA,,,POLYMED,JMFINANCIL,,
PFC,,,POLYCAB,JSWENERGY,,
POWERGRID,,,POONAWALLA,JSWHL,,
PRAJIND,,,PFC,JSWINFRA,,
PRESTIGE,,,POWERGRID,JSWSTEEL,,
PGHH,,,PRAJIND,JTLIND,,
PNB,,,PREMIERENE,JAIBALAJI,,
QUESS,,,PRESTIGE,JAICORPLTD,,
RRKABEL,,,PNB,JISLJALEQS,,
RBLBANK,,,RRKABEL,JPPOWER,,
RECLTD,,,RBLBANK,J&KBANK,,
RHIM,,,RECLTD,JAMNAAUTO,,
RITES,,,RHIM,JSFB,,
RADICO,,,RITES,JINDALSAW,,
RVNL,,,RADICO,JSL,,
RAILTEL,,,RVNL,JINDALSTEL,,
RAINBOW,,,RAILTEL,JINDWORLD,,
RAJESHEXPO,,,RAINBOW,JIOFIN,,
RKFORGE,,,RKFORGE,JCHAC,,
RCF,,,RCF,JUBLFOOD,,
RATNAMANI,,,RTNINDIA,JUBLINGREA,,
RTNINDIA,,,RAYMONDLSL,JUBLPHARMA,,
RAYMOND,,,RAYMOND,JWL,,
REDINGTON,,,REDINGTON,JUSTDIAL,,
RELIANCE,,,RELIANCE,JYOTHYLAB,,
ROUTE,,,RPOWER,JYOTICNC,,
SBFC,,,ROUTE,KPRMILL,,
SBICARD,,,SBFC,KEI,,
SBILIFE,,,SBICARD,KNRCON,,
SJVN,,,SBILIFE,KPIGREEN,,
SKFINDIA,,,SJVN,KPITTECH,,
SRF,,,SKFINDIA,KRBL,,
SAMMAANCAP,,,SRF,KSB,,
MOTHERSON,,,SAGILITY,KAJARIACER,,
SANOFI,,,SAILIFE,KPIL,,
SAPPHIRE,,,SAMMAANCAP,KALYANKJIL,,
SAREGAMA,,,MOTHERSON,KSL,,
SCHAEFFLER,,,SAPPHIRE,KANSAINER,,
SCHNEIDER,,,SARDAEN,KTKBANK,,
SCI,,,SAREGAMA,KARURVYSYA,,
SHREECEM,,,SCHAEFFLER,KSCL,,
RENUKA,,,SCHNEIDER,KAYNES,,
SHRIRAMFIN,,,SCI,KEC,,
SHYAMMETL,,,SHREECEM,KFINTECH,,
SIEMENS,,,RENUKA,KIRLOSBROS,,
SIGNATURE,,,SHRIRAMFIN,KIRLOSENG,,
SOBHA,,,SHYAMMETL,KIRLPNU,,
SOLARINDS,,,SIEMENS,KOTAKBANK,,
SONACOMS,,,SIGNATURE,KIMS,,
SONATSOFTW,,,SOBHA,LTF,,
STARHEALTH,,,SOLARINDS,LTTS,,
SBIN,,,SONACOMS,LICHSGFIN,,
SAIL,,,SONATSOFTW,LMW,,
SWSOLAR,,,STARHEALTH,LTFOODS,,
SUMICHEM,,,SBIN,LTIM,,
SPARC,,,SAIL,LT,,
SUNPHARMA,,,SWSOLAR,LATENTVIEW,,
SUNTV,,,SUMICHEM,LAURUSLABS,,
SUNDARMFIN,,,SUNPHARMA,LXCHEM,,
SUNDRMFAST,,,SUNTV,IXIGO,,
SUPREMEIND,,,SUNDARMFIN,LEMONTREE,,
SUVENPHAR,,,SUNDRMFAST,LICI,,
SUZLON,,,SUPREMEIND,LINDEINDIA,,
SWANENERGY,,,SUZLON,LLOYDSENGG,,
SYNGENE,,,SWANENERGY,LLOYDSENT,,
SYRMA,,,SWIGGY,LLOYDSME,,
TBOTEK,,,SYNGENE,LODHA,,
TVSMOTOR,,,SYRMA,LUPIN,,
TVSSCS,,,TBOTEK,LUXIND,,
TANLA,,,TVSMOTOR,MMTC,,
TATACHEM,,,TANLA,MOIL,,
TATACOMM,,,TATACHEM,MRF,,
TCS,,,TATACOMM,MSTCLTD,,
TATACONSUM,,,TCS,MTARTECH,,
TATAELXSI,,,TATACONSUM,MGL,,
TATAINVEST,,,TATAELXSI,MAHSCOOTER,,
TATAMOTORS,,,TATAINVEST,MAHSEAMLES,,
TATAPOWER,,,TATAMOTORS,M&MFIN,,
TATASTEEL,,,TATAPOWER,M&M,,
TATATECH,,,TATASTEEL,MAHLIFE,,
TTML,,,TATATECH,MANINFRA,,
TECHM,,,TTML,MANAPPURAM,,
TECHNOE,,,TECHM,MRPL,,
TEJASNET,,,TECHNOE,MANKIND,,
NIACL,,,TEJASNET,MARICO,,
RAMCOCEM,,,NIACL,MARKSANS,,
THERMAX,,,RAMCOCEM,MARUTI,,
TIMKEN,,,THERMAX,MASTEK,,
TITAGARH,,,TIMKEN,MAXESTATES,,
TITAN,,,TITAGARH,MFSL,,
TORNTPHARM,,,TITAN,MAXHEALTH,,
TORNTPOWER,,,TORNTPHARM,MAZDOCK,,
TRENT,,,TORNTPOWER,MEDPLUS,,
TRIDENT,,,TARIL,METROPOLIS,,
TRIVENI,,,TRENT,MINDACORP,,
TRITURBINE,,,TRIDENT,MIDHANI,,
TIINDIA,,,TRIVENI,MSUMI,,
UCOBANK,,,TRITURBINE,MOTILALOFS,,
UNOMINDA,,,TIINDIA,MPHASIS,,
UPL,,,UCOBANK,BECTORFOOD,,
UTIAMC,,,UNOMINDA,MCX,,
UJJIVANSFB,,,UPL,MUTHOOTFIN,,
ULTRACEMCO,,,UTIAMC,NATCOPHARM,,
UNIONBANK,,,ULTRACEMCO,NBCC,,
UBL,,,UNIONBANK,NCC,,
UNITDSPR,,,UBL,NEOGEN,,
USHAMART,,,UNITDSPR,NESCO,,
VGUARD,,,USHAMART,NHPC,,
VIPIND,,,VGUARD,NLCINDIA,,
DBREALTY,,,DBREALTY,NMDC,,
VTL,,,VTL,NSLNISP,,
VARROC,,,VBL,NOCIL,,
VBL,,,MANYAVAR,NTPCGREEN,,
MANYAVAR,,,VEDL,NTPC,,
VEDL,,,VIJAYA,NH,,
VIJAYA,,,VMM,NATIONALUM,,
VINATIORGA,,,IDEA,NFL,,
IDEA,,,VOLTAS,NAVA,,
VOLTAS,,,WAAREEENER,NAVINFLUOR,,
WELCORP,,,WELCORP,NAZARA,,
WELSPUNLIV,,,WELSPUNLIV,NESTLEIND,,
WESTLIFE,,,WESTLIFE,NETWEB,,
WHIRLPOOL,,,WHIRLPOOL,NETWORK18,,
WIPRO,,,WIPRO,NEULANDLAB,,
YESBANK,,,WOCKPHARMA,NEWGEN,,
ZFCVINDIA,,,YESBANK,NAM-INDIA,,
ZEEL,,,ZFCVINDIA,NIVABUPA,,
ZENSARTECH,,,ZEEL,NUVAMA,,
ZOMATO,,,ZENTEC,NUVOCO,,
ZYDUSLIFE,,,ZENSARTECH,OBEROIRLTY,,
ECLERX,,,ZYDUSLIFE,ONGC,,
Symbol,,,ECLERX,OIL,,
360ONE,,,,OLAELEC,,
3MINDIA,,,,OLECTRA,,
ABB,,,,PAYTM,,
ACC,,,,OPTIEMUS,,
AIAENG,,,,OFSS,,
APLAPOLLO,,,,ORCHPHARMA,,
AUBANK,,,,ORIENTCEM,,
AADHARHFC,,,,ORISSAMINE,,
AARTIIND,,,,PNGJL,,
AAVAS,,,,POLICYBZR,,
ABBOTINDIA,,,,PCJEWELLER,,
ACE,,,,PCBL,,
ADANIENSOL,,,,PGEL,,
ADANIENT,,,,PIIND,,
ADANIGREEN,,,,PNBHOUSING,,
ADANIPORTS,,,,PNCINFRA,,
ADANIPOWER,,,,PTC,,
ATGL,,,,PTCIL,,
AWL,,,,PVRINOX,,
ABCAPITAL,,,,PAGEIND,,
ABFRL,,,,PAISALO,,
ABREL,,,,PARADEEP,,
ABSLAMC,,,,PARAS,,
AEGISLOG,,,,PATANJALI,,
AFFLE,,,,PATELENG,,
AJANTPHARM,,,,PGIL,,
AKUMS,,,,PERSISTENT,,
APLLTD,,,,PETRONET,,
ALKEM,,,,PFIZER,,
ALKYLAMINE,,,,PHOENIXLTD,,
ALOKINDS,,,,PIDILITIND,,
ARE&M,,,,PEL,,
AMBER,,,,PPLPHARMA,,
AMBUJACEM,,,,POLYMED,,
ANANDRATHI,,,,POLYCAB,,
ANANTRAJ,,,,POLYPLEX,,
ANGELONE,,,,POONAWALLA,,
APARINDS,,,,PFC,,
APOLLOHOSP,,,,POWERGRID,,
APOLLOTYRE,,,,POWERMECH,,
APTUS,,,,PRAJIND,,
ACI,,,,PREMIERENE,,
ASAHIINDIA,,,,PRESTIGE,,
ASHOKLEY,,,,PRICOLLTD,,
ASIANPAINT,,,,PRINCEPIPE,,
ASTERDM,,,,PRSMJOHNSN,,
ASTRAZEN,,,,PRUDENT,,
ASTRAL,,,,PNB,,
ATUL,,,,RRKABEL,,
AUROPHARMA,,,,RBLBANK,,
AVANTIFEED,,,,RECLTD,,
DMART,,,,RHIM,,
AXISBANK,,,,RITES,,
BASF,,,,RADICO,,
BEML,,,,RVNL,,
BLS,,,,RAILTEL,,
BSE,,,,RAIN,,
BAJAJ-AUTO,,,,RAINBOW,,
BAJFINANCE,,,,RAJESHEXPO,,
BAJAJFINSV,,,,RALLIS,,
BAJAJHLDNG,,,,RKFORGE,,
BALAMINES,,,,RCF,,
BALKRISIND,,,,RATEGAIN,,
BALRAMCHIN,,,,RTNINDIA,,
BANDHANBNK,,,,RTNPOWER,,
BANKBARODA,,,,RAYMONDLSL,,
BANKINDIA,,,,RAYMOND,,
MAHABANK,,,,REDINGTON,,
BATAINDIA,,,,REDTAPE,,
BAYERCROP,,,,REFEX,,
BERGEPAINT,,,,RELIANCE,,
BDL,,,,RELINFRA,,
BEL,,,,RPOWER,,
BHARATFORG,,,,RELIGARE,,
BHEL,,,,RESPONIND,,
BPCL,,,,RBA,,
BHARTIARTL,,,,ROSSARI,,
BHARTIHEXA,,,,ROUTE,,
BIKAJI,,,,SBFC,,
BIOCON,,,,SBICARD,,
BIRLACORPN,,,,SBILIFE,,
BSOFT,,,,SJVN,,
BLUEDART,,,,SKFINDIA,,
BLUESTARCO,,,,SRF,,
BBTC,,,,SAFARI,,
BOSCHLTD,,,,SAGILITY,,
BRIGADE,,,,SAILIFE,,
BRITANNIA,,,,SAMHI,,
MAPMYINDIA,,,,SAMMAANCAP,,
CCL,,,,MOTHERSON,,
CESC,,,,SANOFICONR,,
CGPOWER,,,,SANOFI,,
CIEINDIA,,,,SANSERA,,
CRISIL,,,,SAPPHIRE,,
CAMPUS,,,,SARDAEN,,
CANFINHOME,,,,SAREGAMA,,
CANBK,,,,SCHAEFFLER,,
CAPLIPOINT,,,,SCHNEIDER,,
CGCL,,,,SENCO,,
CARBORUNIV,,,,SEQUENT,,
CASTROLIND,,,,SHAILY,,
CEATLTD,,,,SHAKTIPUMP,,
CELLO,,,,SHARDACROP,,
CENTRALBK,,,,SHAREINDIA,,
CDSL,,,,SFL,,
CENTURYPLY,,,,SHILPAMED,,
CERA,,,,SCI,,
CHALET,,,,SBCL,,
CHAMBLFERT,,,,SHOPERSTOP,,
CHEMPLASTS,,,,SHREECEM,,
CHENNPETRO,,,,RENUKA,,
CHOLAHLDNG,,,,SHRIRAMFIN,,
CHOLAFIN,,,,SHRIPISTON,,
CIPLA,,,,SHYAMMETL,,
CUB,,,,SIEMENS,,
CLEAN,,,,SIGNATURE,,
COALINDIA,,,,SKIPPER,,
COCHINSHIP,,,,SOBHA,,
COFORGE,,,,SOLARINDS,,
COLPAL,,,,SONACOMS,,
CAMS,,,,SONATSOFTW,,
CONCORDBIO,,,,SOUTHBANK,,
CONCOR,,,,SPANDANA,,
COROMANDEL,,,,STARCEMENT,,
CRAFTSMAN,,,,STARHEALTH,,
CREDITACC,,,,SBIN,,
CROMPTON,,,,SAIL,,
CUMMINSIND,,,,SWSOLAR,,
CYIENT,,,,STLTECH,,
DLF,,,,STAR,,
DOMS,,,,STYLAMIND,,
DABUR,,,,SUBROS,,
DALBHARAT,,,,SUDARSCHEM,,
DATAPATTNS,,,,SULA,,
DEEPAKFERT,,,,SUMICHEM,,
DEEPAKNTR,,,,SPARC,,
DELHIVERY,,,,SUNPHARMA,,
DEVYANI,,,,SUNTV,,
DIVISLAB,,,,SUNDARMFIN,,
DIXON,,,,SUNDRMFAST,,
LALPATHLAB,,,,SUNFLAG,,
DRREDDY,,,,SUNTECK,,
EIDPARRY,,,,SUPRAJIT,,
EIHOTEL,,,,SUPREMEIND,,
EASEMYTRIP,,,,SUPRIYA,,
EICHERMOT,,,,SURYAROSNI,,
ELECON,,,,SUZLON,,
ELGIEQUIP,,,,SWANENERGY,,
EMAMILTD,,,,SWIGGY,,
EMCURE,,,,SYMPHONY,,
ENDURANCE,,,,SYNGENE,,
ENGINERSIN,,,,SYRMA,,
EQUITASBNK,,,,TARC,,
ERIS,,,,TBOTEK,,
ESCORTS,,,,TDPOWERSYS,,
EXIDEIND,,,,TVSMOTOR,,
NYKAA,,,,TVSSCS,,
FEDERALBNK,,,,TANLA,,
FACT,,,,TATACHEM,,
FINEORG,,,,TATACOMM,,
FINCABLES,,,,TCS,,
FINPIPE,,,,TATACONSUM,,
FSL,,,,TATAELXSI,,
FIVESTAR,,,,TATAINVEST,,
FORTIS,,,,TATAMOTORS,,
GRINFRA,,,,TATAPOWER,,
GAIL,,,,TATASTEEL,,
GVT&D,,,,TATATECH,,
GMRAIRPORT,,,,TTML,,
GRSE,,,,TEAMLEASE,,
GICRE,,,,TECHM,,
GILLETTE,,,,TECHNOE,,
GLAND,,,,TIIL,,
GLAXO,,,,TEGA,,
GLENMARK,,,,TEJASNET,,
MEDANTA,,,,TEXRAIL,,
GODIGIT,,,,THANGAMAYL,,
GPIL,,,,ANUP,,
GODFRYPHLP,,,,NIACL,,
GODREJAGRO,,,,RAMCOCEM,,
GODREJCP,,,,THERMAX,,
GODREJIND,,,,TIRUMALCHM,,
GODREJPROP,,,,THOMASCOOK,,
GRANULES,,,,TI,,
GRAPHITE,,,,TIMETECHNO,,
GRASIM,,,,TIMKEN,,
GESHIP,,,,TIPSMUSIC,,
GRINDWELL,,,,TITAGARH,,
GAEL,,,,TITAN,,
FLUOROCHEM,,,,TORNTPHARM,,
GUJGASLTD,,,,TORNTPOWER,,
GMDCLTD,,,,TARIL,,
GNFC,,,,TRANSRAILL,,
GPPL,,,,TRENT,,
GSFC,,,,TRIDENT,,
GSPL,,,,TRIVENI,,
HEG,,,,TRITURBINE,,
HBLPOWER,,,,TIINDIA,,
HCLTECH,,,,UCOBANK,,
HDFCAMC,,,,UNOMINDA,,
HDFCBANK,,,,UPL,,
HDFCLIFE,,,,UTIAMC,,
HFCL,,,,UJJIVANSFB,,
HAPPSTMNDS,,,,ULTRACEMCO,,
HAVELLS,,,,UNIMECH,,
HEROMOTOCO,,,,UNIONBANK,,
HSCL,,,,UBL,,
HINDALCO,,,,UNITDSPR,,
HAL,,,,USHAMART,,
HINDCOPPER,,,,VGUARD,,
HINDPETRO,,,,VMART,,
HINDUNILVR,,,,VIPIND,,
HINDZINC,,,,VSTIND,,
POWERINDIA,,,,WABAG,,
HOMEFIRST,,,,VAIBHAVGBL,,
HONASA,,,,DBREALTY,,
HONAUT,,,,VTL,,
HUDCO,,,,VARROC,,
ICICIBANK,,,,VBL,,
ICICIGI,,,,MANYAVAR,,
ICICIPRULI,,,,VEDL,,
ISEC,,,,VENTIVE,,
IDBI,,,,VENUSPIPES,,
IDFCFIRSTB,,,,VESUVIUS,,
IFCI,,,,VIJAYA,,
IIFL,,,,VMM,,
INOXINDIA,,,,IDEA,,
IRB,,,,VOLTAMP,,
IRCON,,,,VOLTAS,,
ITC,,,,WAAREEENER,,
ITI,,,,WEBELSOLAR,,
INDGN,,,,WELCORP,,
INDIACEM,,,,WELENT,,
INDIAMART,,,,WELSPUNLIV,,
INDIANB,,,,WESTLIFE,,
IEX,,,,WHIRLPOOL,,
INDHOTEL,,,,WIPRO,,
IOC,,,,WOCKPHARMA,,
IOB,,,,WONDERLA,,
IRCTC,,,,YATHARTH,,
IRFC,,,,YESBANK,,
IREDA,,,,ZFCVINDIA,,
IGL,,,,ZAGGLE,,
INDUSTOWER,,,,ZEEL,,
INDUSINDBK,,,,ZENTEC,,
NAUKRI,,,,ZENSARTECH,,
INFY,,,,BLACKBUCK,,
INOXWIND,,,,ZYDUSLIFE,,
INTELLECT,,,,ZYDUSWELL,,
INDIGO,,,,ECLERX,,
IPCALAB,,,,EMUDHRA,,
JBCHEPHARM,,,,,,
JKCEMENT,,,,,,
JBMA,,,,,,
JKLAKSHMI,,,,,,
JKTYRE,,,,,,
JMFINANCIL,,,,,,
JSWENERGY,,,,,,
JSWINFRA,,,,,,
JSWSTEEL,,,,,,
JPPOWER,,,,,,
J&KBANK,,,,,,
JINDALSAW,,,,,,
JSL,,,,,,
JINDALSTEL,,,,,,
JIOFIN,,,,,,
JUBLFOOD,,,,,,
JUBLINGREA,,,,,,
JUBLPHARMA,,,,,,
JWL,,,,,,
JUSTDIAL,,,,,,
JYOTHYLAB,,,,,,
JYOTICNC,,,,,,
KPRMILL,,,,,,
KEI,,,,,,
KNRCON,,,,,,
KPITTECH,,,,,,
KSB,,,,,,
KAJARIACER,,,,,,
KPIL,,,,,,
KALYANKJIL,,,,,,
KANSAINER,,,,,,
KARURVYSYA,,,,,,
KAYNES,,,,,,
KEC,,,,,,
KFINTECH,,,,,,
KIRLOSBROS,,,,,,
KIRLOSENG,,,,,,
KOTAKBANK,,,,,,
KIMS,,,,,,
LTF,,,,,,
LTTS,,,,,,
LICHSGFIN,,,,,,
LTIM,,,,,,
LT,,,,,,
LATENTVIEW,,,,,,
LAURUSLABS,,,,,,
LEMONTREE,,,,,,
LICI,,,,,,
LINDEINDIA,,,,,,
LLOYDSME,,,,,,
LUPIN,,,,,,
MMTC,,,,,,
MRF,,,,,,
LODHA,,,,,,
MGL,,,,,,
MAHSEAMLES,,,,,,
M&MFIN,,,,,,
M&M,,,,,,
MAHLIFE,,,,,,
MANAPPURAM,,,,,,
MRPL,,,,,,
MANKIND,,,,,,
MARICO,,,,,,
MARUTI,,,,,,
MASTEK,,,,,,
MFSL,,,,,,
MAXHEALTH,,,,,,
MAZDOCK,,,,,,
METROBRAND,,,,,,
METROPOLIS,,,,,,
MINDACORP,,,,,,
MSUMI,,,,,,
MOTILALOFS,,,,,,
MPHASIS,,,,,,
MCX,,,,,,
MUTHOOTFIN,,,,,,
NATCOPHARM,,,,,,
NBCC,,,,,,
NCC,,,,,,
NHPC,,,,,,
NLCINDIA,,,,,,
NMDC,,,,,,
NSLNISP,,,,,,
NTPC,,,,,,